22:20:10.497 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
22:20:10.505 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
22:20:10.510 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
22:20:10.510 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
22:20:10.510 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_000001AE (PID-specific).
22:20:10.510 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_000001AE (PID-specific) has no value.
22:20:10.510 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
22:20:10.526 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=17ms
22:20:10.526 |V| JetEnvironment                | :1                 | HostInit phase completed.
22:20:10.526 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
22:20:10.530 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir /home/olaf/Documents/air/robotic_arm/robotic_arm/Library/RiderFlow/2023.1.0.21/Backend~/bin.
22:20:10.533 |V| DeployedPackages              | :1                 | Scanning folder /home/olaf/Documents/air/robotic_arm/robotic_arm/Library/RiderFlow/2023.1.0.21/Backend~/bin for Deployed Packages. Picking nugets? True!
