13:24:48.144 |I| Core                           | RequestBuilder thread:10       | MsBuild process with Id = 384
13:24:48.146 |I| Core                           | RequestBuilder thread:10       | MsBuild location = /run/host/usr/share/dotnet/sdk/7.0.302/MSBuild.dll
13:24:48.146 |I| Core                           | RequestBuilder thread:10       | ServerGC = False
13:24:48.146 |I| Core                           | RequestBuilder thread:10       | 
13:24:48.146 |I| Core                           | RequestBuilder thread:10       | Start ControllerTask...
13:24:48.147 |I| Core                           | RequestBuilder thread:10       | Detected version: 17.6
13:24:48.148 |I| Core                           | RequestBuilder thread:10       | Creating SocketWire with port = 34877
13:24:48.159 |I| Core                           | RequestBuilder thread:10       | Create protocol...
13:24:48.184 |I| Core                           | RequestBuilder thread:10       | Create MsBuildModel and advise for new sessions...
13:24:48.204 |I| Core                           | RequestBuilder thread:10       | Subscribe for changes...
13:24:48.204 |I| Core                           | RequestBuilder thread:10       | Setup process watchdog...
13:24:48.205 |I| Core                           | RequestBuilder thread:10       | Run dispatcher...
13:24:48.206 |I| ProcessWatchdog                | WatchParentPid:335:14          | Monitoring parent process PID:335
13:24:48.387 |I| Core                           | RequestBuilder thread:10       | Get protocol session 'RdProjectModelSession'
13:24:48.390 |I| Core                           | RequestBuilder thread:10       | Msbuild session 'ProjectModelSessionHost' created
13:24:48.451 |I| ProjectModel                   | RequestBuilder thread:10       | Reloading 30 project(s) in 4 node(s)...
13:24:48.451 |I| ProjectModel                   | RequestBuilder thread:10       | Reason: WarmStartup
13:24:48.456 |I| Build                          | MSBuild LoggingService events queue pump: 37296927:17 | Build started.
13:24:48.461 |I| BuildQueue                     | RequestBuilder thread:10       | Build queue: False
13:24:49.156 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.TextMeshPro.Editor.csproj
13:24:49.159 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.TextMeshPro.Editor.csproj' with 1 target frameworks
13:24:49.165 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
13:24:49.166 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\UnityEngine.TestRunner.csproj
13:24:49.167 |I| Build                          | RequestBuilder thread:10       | Start build 'UnityEngine.TestRunner.csproj' with 1 target frameworks
