22:20:07.308 |I| Launcher                       | :1                             | Checking if build hasn't expired.
22:20:07.321 |I| Launcher                       | :1                             | Starting RiderFlow frontend
22:20:07.334 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
22:20:07.339 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
22:20:07.351 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
22:20:07.352 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 43587
22:20:07.354 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:14 | ServerSocket-UnityServer : accepting, port: 43587
22:20:09.515 |I| Launcher                       | :1                             | Creating Root ScriptableObject
22:20:09.516 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
22:20:09.517 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
22:20:09.517 |I| Launcher                       | :1                             | Subscribing for events
22:20:10.094 |I| Launcher                       | :1                             | Start running backend
22:20:14.992 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
22:20:15.001 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
22:20:15.659 |V| Launcher                       | :1                             | Ready!
